"ordem","bloco","plot","tipo","tratamento","parcela","nu_li","tipo_nu","numero","nome_especie","cod_sp","grupo","survt1","survt2","survt3","survt4","survt6","survt7","excl_mort_t1","excl_mort_t2","excl_mort_t3","excl_mort_t4","excl_mort_t6","excl_mort_t7","excluir_total","survt1t4"
1,"2","55","NU","NPK","55NUNPK","B001","B",1750,"Citharexylum myrianthum","4","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
2,"2","55","NU","NPK","55NUNPK","B001","B",1751,"Eriotheca pentaphylla","27","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
3,"2","55","NU","NPK","55NUNPK","B001","B",1752,"Solanum cinnamomeum","10","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
4,"2","55","NU","NPK","55NUNPK","B001","B",1753,"Myrcia ilheosensis","26","NP",1,1,1,1,1,0,0,0,0,0,0,0,0,1
5,"2","55","NU","NPK","55NUNPK","B001","B",1754,"Eugenia astringens","24","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
6,"2","55","NU","NPK","55NUNPK","B001","B",1755,"Eugenia brasiliensis","25","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
7,"2","55","NU","NPK","55NUNPK","B001","B",1756,"Erythrina speciosa","3","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
8,"2","55","NU","NPK","55NUNPK","B001","B",1757,"Jacaranda puberula","15","NP",1,1,1,1,1,1,0,0,0,0,1,0,0,1
9,"2","55","NU","NPK","55NUNPK","B001","B",1758,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"2","55","NU","NPK","55NUNPK","B001","B",1759,"Ternstroemia brasiliensis","23","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"2","55","NU","NPK","55NUNPK","B001","B",1760,"Myrsine coriacea","1","P",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
12,"2","55","NU","NPK","55NUNPK","B001","B",1761,"Calophyllum brasiliense","13","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
13,"2","55","NU","NPK","55NUNPK","B001","B",1762,"Schinus terebinthifolius","2","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
14,"2","55","NU","NPK","55NUNPK","A002","A",1763,"Citharexylum myrianthum","4","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
15,"2","55","NU","NPK","55NUNPK","A002","A",1764,"Eriotheca pentaphylla","27","NP",1,1,1,1,0,0,0,0,0,0,0,0,0,1
16,"2","55","NU","NPK","55NUNPK","A002","A",1765,"Aegiphila verticillata","6","P",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
17,"2","55","NU","NPK","55NUNPK","A002","A",1766,"Eugenia astringens","24","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
18,"2","55","NU","NPK","55NUNPK","A002","A",1767,"Syagrus romanzoffiana","17","NP",1,1,1,1,0,0,0,0,0,0,0,0,0,1
19,"2","55","NU","NPK","55NUNPK","A002","A",1768,"Myrcia multiflora","22","NP",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
20,"2","55","NU","NPK","55NUNPK","A002","A",1769,"Erythrina speciosa","3","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
21,"2","55","NU","NPK","55NUNPK","A002","A",1770,"Bicuiba oleifera","20","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"2","55","NU","NPK","55NUNPK","A002","A",1771,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"2","55","NU","NPK","55NUNPK","A002","A",1772,"Pouteria sp.","21","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"2","55","NU","NPK","55NUNPK","A002","A",1773,"Myrsine coriacea","1","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
25,"2","55","NU","NPK","55NUNPK","A002","A",1774,"Ocotea pulchella","16","NP",1,1,1,1,0,0,0,0,0,0,0,0,0,1
26,"2","55","NU","NPK","55NUNPK","A002","A",1775,"Schinus terebinthifolius","2","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
28,"2","55","NU","NPK","55NUNPK","B002","B",1777,"Eriotheca pentaphylla","27","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"2","55","NU","NPK","55NUNPK","B002","B",1778,"Solanum cinnamomeum","10","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"2","55","NU","NPK","55NUNPK","B002","B",1779,"Myrcia ilheosensis","26","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"2","55","NU","NPK","55NUNPK","B002","B",1780,"Eugenia astringens","24","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"2","55","NU","NPK","55NUNPK","B002","B",1781,"Eugenia brasiliensis","25","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
33,"2","55","NU","NPK","55NUNPK","B002","B",1782,"Erythrina speciosa","3","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
35,"2","55","NU","NPK","55NUNPK","B002","B",1784,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"2","55","NU","NPK","55NUNPK","B002","B",1785,"Ternstroemia brasiliensis","23","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"2","55","NU","NPK","55NUNPK","B002","B",1786,"Myrsine coriacea","1","P",1,0,1,1,0,0,0,0,0,0,0,0,0,1
38,"2","55","NU","NPK","55NUNPK","B002","B",1787,"Calophyllum brasiliense","13","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
39,"2","55","NU","NPK","55NUNPK","B002","B",1788,"Schinus terebinthifolius","2","P",1,1,1,1,0,0,0,0,0,0,0,0,0,1
40,"2","55","NU","NPK","55NUNPK","A003","A",1789,"Citharexylum myrianthum","4","P",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
41,"2","55","NU","NPK","55NUNPK","A003","A",1790,"Eriotheca pentaphylla","27","NP",1,1,1,1,0,0,0,0,0,0,0,0,0,1
42,"2","55","NU","NPK","55NUNPK","A003","A",1791,"Aegiphila verticillata","6","P",1,1,1,0,0,0,0,0,0,0,0,0,0,0
43,"2","55","NU","NPK","55NUNPK","A003","A",1792,"Syagrus romanzoffiana","17","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
44,"2","55","NU","NPK","55NUNPK","A003","A",1793,"Eugenia astringens","24","NP",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
45,"2","55","NU","NPK","55NUNPK","A003","A",1794,"Myrcia multiflora","22","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"2","55","NU","NPK","55NUNPK","A003","A",1795,"Erythrina speciosa","3","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
47,"2","55","NU","NPK","55NUNPK","A003","A",1796,"Bicuiba oleifera","20","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"2","55","NU","NPK","55NUNPK","A003","A",1797,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"2","55","NU","NPK","55NUNPK","A003","A",1798,"Pouteria sp.","21","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"2","55","NU","NPK","55NUNPK","A003","A",1799,"Myrsine coriacea","1","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"2","55","NU","NPK","55NUNPK","A003","A",1800,"Ocotea pulchella","16","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"2","55","NU","NPK","55NUNPK","A003","A",1801,"Schinus terebinthifolius","2","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
53,"2","55","NU","NPK","55NUNPK","B003","B",1815,"Citharexylum myrianthum","4","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
54,"2","55","NU","NPK","55NUNPK","B003","B",1816,"Eriotheca pentaphylla","27","NP",1,1,0,0,0,0,0,0,0,0,0,0,0,0
55,"2","55","NU","NPK","55NUNPK","B003","B",1817,"Solanum cinnamomeum","10","P",1,1,1,1,0,0,0,0,0,0,0,0,0,1
