"","bloco","nome_especie","grupo","tipo","surv","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"110",NA,"Aegiphila verticillata","P","LI",NA,0.506598450001814,0.0529466590020042,0.402467625983014,0.506642873856946,0.610464038363669,NA
"210",NA,"Aegiphila verticillata","P","NU",NA,0.535622165606311,0.0526076106306365,0.431264809890799,0.535977155285212,0.637934622816833,NA
"323",NA,"Citharexylum myrianthum","P","LI",NA,0.947281158691029,0.0141652517583555,0.915567789081966,0.948711421890437,0.970765765817591,NA
"42",NA,"Citharexylum myrianthum","P","NU",NA,0.952909771509786,0.0123398749055209,0.925410645941949,0.954107384407207,0.973505561995682,NA
"511",NA,"Erythrina speciosa","P","LI",NA,0.937169552908868,0.016511233549547,0.900325035492057,0.93879027364298,0.964694393497967,NA
"68",NA,"Erythrina speciosa","P","NU",NA,0.943810557757725,0.0144056643927812,0.911798605024149,0.94517245967081,0.967975563755818,NA
"78",NA,"Myrsine coriacea","P","LI",NA,0.417651345297608,0.050884277554312,0.319958495866678,0.416857860508989,0.519898703573645,NA
"814",NA,"Myrsine coriacea","P","NU",NA,0.446110753973311,0.0482966994682974,0.352305977452499,0.445673499644135,0.542439557008835,NA
"916",NA,"Schinus terebinthifolius","P","LI",NA,0.893830134392645,0.0229944222814196,0.843525719726583,0.895691466203371,0.933426391287102,NA
"108",NA,"Schinus terebinthifolius","P","NU",NA,0.904601380628792,0.0199916900467482,0.861007513992551,0.906158028822726,0.93921136222472,NA
"11",NA,"Solanum cinnamomeum","P","LI",NA,0.436168294909595,0.0517652158312581,0.336262647001314,0.435547173510067,0.539638688946516,NA
"122",NA,"Solanum cinnamomeum","P","NU",NA,0.464967148400037,0.0523939880235674,0.362974768361635,0.464642243844037,0.568825536708417,NA
"1326",NA,"Bicuiba oleifera","NP","LI",NA,0.0518793639086995,0.0171624501148261,0.0244097943344176,0.0498377250990078,0.0910870654272017,NA
"145",NA,"Bicuiba oleifera","NP","NU",NA,0.1111625955409,0.0335721110279873,0.0551778982474326,0.107914182266556,0.185804091586538,NA
"154",NA,"Calophyllum brasiliense","NP","LI",NA,0.824959754739004,0.0350460279557939,0.749938781922676,0.8271998353371,0.887085830184133,NA
"16",NA,"Calophyllum brasiliense","NP","NU",NA,0.915185542501462,0.0193243684061689,0.872646946337148,0.916850380907138,0.948142662003525,NA
"174",NA,"Eriotheca pentaphylla","NP","LI",NA,0.4230585210416,0.0457764886905977,0.334582455342861,0.422453752850097,0.515023361237453,NA
"186",NA,"Eriotheca pentaphylla","NP","NU",NA,0.626389156759176,0.0426225868583818,0.539673562035328,0.627292392371162,0.707838559285795,NA
"19",NA,"Eugenia astringens","NP","LI",NA,0.77261569312477,0.0367826241444702,0.69511354734353,0.774449347722602,0.839513571685193,NA
"201",NA,"Eugenia astringens","NP","NU",NA,0.88622812153223,0.0210752830026225,0.840642986413223,0.887705500229891,0.92325931573737,NA
"217",NA,"Eugenia brasiliensis","NP","LI",NA,0.80965229231709,0.0369278646017102,0.730950632565228,0.811883879192878,0.875508937731378,NA
"225",NA,"Eugenia brasiliensis","NP","NU",NA,0.906866329531769,0.0206706178483267,0.861516991934107,0.908588186870657,0.942304741909964,NA
"239",NA,"Euterpe edulis","NP","LI",NA,0.0447834868529604,0.0114908583351503,0.0256785141870031,0.0436349752657112,0.0704969829983595,NA
"2421",NA,"Euterpe edulis","NP","NU",NA,0.09703145709524,0.0224583255754427,0.0584273841675591,0.0952026963310236,0.14617373368377,NA
"254",NA,"Jacaranda puberula","NP","LI",NA,0.737261787763562,0.0425643294957868,0.648372282655386,0.739134920314746,0.815342926551307,NA
"2610",NA,"Jacaranda puberula","NP","NU",NA,0.865203502789609,0.0263588256537706,0.808145179302439,0.867096068903457,0.911359605880959,NA
"278",NA,"Myrcia ilheosensis","NP","LI",NA,0.17547804784503,0.0341272289315712,0.115278786134653,0.173177552173844,0.2488735539929,NA
"2821",NA,"Myrcia ilheosensis","NP","NU",NA,0.32696978362829,0.0498693441176826,0.23380517377079,0.325365580119322,0.429365185670608,NA
"2911",NA,"Myrcia multiflora","NP","LI",NA,0.289344191625554,0.0439813231363757,0.20817407625222,0.28755029393483,0.38081896879869,NA
"304",NA,"Myrcia multiflora","NP","NU",NA,0.481676454654886,0.052434652616877,0.37899370558866,0.481564371245298,0.585022728353381,NA
"3113",NA,"Ocotea pulchella","NP","LI",NA,0.322686142748016,0.0458238985424081,0.237140612026513,0.32113727244409,0.417130585098554,NA
"3210",NA,"Ocotea pulchella","NP","NU",NA,0.520967718282746,0.0517590466320109,0.418477165468176,0.52123877465538,0.621914358102362,NA
"332",NA,"Pouteria sp.","NP","LI",NA,0.105958737288295,0.0263550718189613,0.0614110612179377,0.103561344043336,0.164244361106232,NA
"342",NA,"Pouteria sp.","NP","NU",NA,0.21292443378323,0.0449568464416663,0.13283185099531,0.210216893672875,0.308533134121414,NA
"353",NA,"Syagrus romanzoffiana","NP","LI",NA,0.564886195059696,0.0508730017276031,0.463325745701381,0.565429634632342,0.663284157211355,NA
"365",NA,"Syagrus romanzoffiana","NP","NU",NA,0.74784526333968,0.0394745522976696,0.665068086508292,0.749677178504877,0.820062336132111,NA
"3715",NA,"Ternstroemia brasiliensis","NP","LI",NA,0.200322383262788,0.0363360868191087,0.135414275512975,0.198135529529814,0.27778914041384,NA
"38",NA,"Ternstroemia brasiliensis","NP","NU",NA,0.363834541262489,0.0510660116367377,0.267283976071274,0.362570144846038,0.467671568424885,NA
